排名,城市名称,2015年GDP总量（亿元）
267,庆阳市,609.43
268,广元市,605.43
269,阳泉市,598.85
270,仙桃,590.00
271,天水市,560.08
272,酒泉市,560.00
273,潜江市,560.00
274,来宾市,557.70
275,保山市,552.00
276,黄山市,544.70
277,白银市,540.00
278,池州市,530.60
279,阜新市,530.00
280,雅安市,517.72
281,鸡西市,514.70
282,普洱市,514.40
283,兴安盟,502.31
284,临沧市,502.10
285,塔城市,502.03
286,巴中市,501.34
287,湘西州,497.19
288,济源,494.41
289,石嘴山,482.40
290,贺州市,468.11
291,黑河市,447.80
292,张家界,447.70
293,儋州,442.03
294,天门,440.00
295,海西州,439.85
296,三亚市,435.02
297,双鸭山市,433.30
298,武威市,416.20
299,吴忠市,403.90
300,拉萨市,389.46
301,海东市,384.40
302,张掖市,373.53
303,平凉市,356.00
304,哈密,343.10
305,西双版纳,335.90
306,铜川市,324.54
307,阿拉善盟,322.58
308,中卫市,316.60
309,陇南市,310.00
310,定西市,304.92
311,德宏州,292.30
312,丽江市,290.00
313,博尔塔拉,290.00
314,阿坝州,271.13
315,鹤岗市,266.00
316,吐鲁番市,250.15
317,伊春市,248.20
318,和田,233.86
319,阿勒泰,231.80
320,金昌市,224.50
321,临夏州,220.00
322,甘孜州,217.57
323,固原市,217.00
324,七台河,212.70
325,嘉峪关,195.00
326,日喀则,168.00
327,迪庆州,161.10
328,海南州,140.20
329,昌都市,136.00
330,大兴安岭地区,134.90
331,甘南州,126.54
332,山南市,115.00
333,怒江州,113.00
334,林芝市,105.00
335,克孜勒苏柯尔克孜,101.50
336,那曲,95.90
337,海北州,94.86
338,黄南州,72.75
339,玉树州,60.55
340,阿里,37.40
341,果洛州,35.66
342,神农架,22.50
